Premier League
20,Celtic,5,2,2,1,10,10,0,8,150
21,Feyenoord,5,2,1,2,10,13,-3,7,300
22,Club Brugge,5,2,1,2,4,7,-3,7,500
23,Dinamo Zagreb,5,2,1,2,10,15,-5,7,1000
24,Real Madrid,5,2,0,3,9,9,0,6,6.5
25,PSG,5,1,1,3,3,6,-3,4,50
26,Shakhtar Donetsk,5,1,1,3,4,8,-4,4,750
27,Vfb Stuttgart,5,1,1,3,4,11,-7,4,350
28,Sparta Prague,5,1,1,3,5,14,-9,4,2000
29,SK Sturm Graz,5,1,0,4,2,6,-4,3,2000
30,Girona,5,1,0,4,4,9,-5,3,1500
31,Crvena Zvezda,5,1,0,4,9,17,-8,3,2500
32,Salzburg,5,1,0,4,3,15,-12,3,2000
33,Bologna,5,0,1,4,1,7,-6,1,2000
34,RB Leipzig,5,0,0,5,4,10,-6,0,1000
35,Slovan Bratislava,5,0,0,5,4,18,-14,0,4500
36,Young Boys,5,0,0,5,2,17,-15,0,4500

