Premier League
12,TORINO,0.0,0.0,0.0,0.0,0.0,0.4,1.3,9.0,20.4,18.8,15.1,11.4,8.1,5.7,4.0,2.6,1.5,0.8,0.5,0.2
13,CAGLIARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,1.4,2.6,4.8,6.5,8.6,11.4,12.3,13.8,14.1,13.6,10.2
14,GENOA,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.3,5.0,7.7,10.1,11.7,12.3,11.8,11.0,9.5,7.5,5.8,4.2,2.0
15,ROMA,0.0,0.0,0.0,0.0,0.1,0.4,1.8,9.7,22.2,19.5,14.7,10.1,7.5,5.4,3.6,2.3,1.2,0.8,0.4,0.2
16,LECCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,2.5,3.6,5.8,7.8,9.9,11.0,13.3,13.6,12.5,11.1,7.3
17,VERONA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,1.8,3.2,4.8,6.3,8.0,9.8,11.5,13.5,15.1,14.5,10.6
18,COMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.7,1.3,2.2,3.8,5.9,7.3,10.3,12.3,16.1,20.0,19.6
19,MONZA,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,2.2,4.4,6.7,8.9,10.1,11.4,12.1,11.9,10.7,9.3,7.6,4.3
20,VENEZIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.8,1.8,2.5,3.9,5.8,8.9,12.9,20.1,42.6

La Liga
1,BARCELONA,54.1,34.1,10.7,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REAL MADRID,39.4,45.9,12.9,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ATLÉTICO,6.3,17.9,59.2,12.5,3.3,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ATHLETIC CLUB,0.1,1.2,9.3,40.8,27.4,12.1,5.3,2.2,1.1,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,VILLARREAL,0.1,0.9,6.6,30.6,30.8,16.0,8.0,4.0,1.8,0.7,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,MALLORCA,0.0,0.0,0.1,0.7,3.5,8.5,13.6,16.7,15.8,14.2,9.9,6.7,4.3,2.7,1.6,0.9,0.5,0.2,0.1,0.0
7,OSASUNA,0.0,0.0,0.1,1.4,4.5,9.8,15.3,16.5,15.9,12.1,9.2,6.1,3.9,2.4,1.2,1.0,0.3,0.2,0.1,0.0
8,GIRONA,0.0,0.0,0.5,5.1,13.4,21.7,20.1,14.8,10.1,6.2,3.8,2.0,1.2,0.6,0.3,0.2,0.1,0.0,0.0,0.0
9,REAL SOCIEDAD,0.0,0.0,0.6,5.7,13.8,22.4,20.1,14.3,9.8,5.9,3.7,1.7,0.9,0.5,0.3,0.2,0.0,0.0,0.0,0.0
10,BETIS,0.0,0.0,0.0,0.4,1.9,4.8,7.9,12.5,14.9,14.5,13.3,9.9,7.1,4.8,3.3,2.4,1.2,0.8,0.4,0.1
11,SEVILLA,0.0,0.0,0.0,0.0,0.5,1.6,3.7,6.5,9.1,12.4,13.8,13.0,11.5,9.0,6.7,5.2,3.7,2.1,1.1,0.2
12,CELTA VIGO,0.0,0.0,0.0,0.1,0.5,1.3,2.9,6.1,9.2,11.3,13.3,13.3,11.2,9.6,7.7,5.5,3.7,2.4,1.5,0.4
13,VALLECANO,0.0,0.0,0.0,0.0,0.1,0.3,1.1,2.1,3.5,6.1,7.6,9.9,11.4,12.3,11.3,10.6,9.3,7.4,5.3,1.7
